timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume
1704295124193,183.95,183.89,183.91,200,300,289955,0
1704295124209,183.95,183.89,183.91,200,100,289955,0
1704295124210,183.95,183.89,183.91,200,100,289955,0
1704295124231,183.95,183.89,183.91,200,200,289955,0
1704295124266,183.95,183.89,183.91,200,100,289955,0
1704295124267,183.95,183.89,183.91,200,200,289955,0
1704295124323,183.95,183.89,183.92,200,100,289955,0
1704295124342,183.95,183.89,183.91,200,100,289955,0
1704295124343,183.95,183.89,183.91,200,300,289955,0
1704295124358,183.95,183.89,183.91,200,300,289955,0
1704295124374,183.95,183.89,183.91,200,100,289955,0
1704295124375,183.95,183.89,183.91,200,100,289955,0
1704295124386,183.95,183.89,183.92,200,100,289955,0
1704295124391,183.95,183.9,183.92,100,100,289955,0
1704295124392,183.95,183.9,183.91,100,100,289955,0
1704295124424,183.95,183.89,183.92,200,100,289955,0
1704295124434,183.95,183.89,183.91,200,100,289955,0
1704295124461,183.95,183.89,183.91,200,100,289955,0
1704295124464,183.95,183.9,183.92,100,100,289955,0
1704295124479,183.95,183.89,183.92,200,100,289955,0
1704295124481,183.95,183.89,183.91,200,100,289955,0
1704295124483,183.95,183.89,183.91,200,200,289955,0
1704295124549,183.95,183.89,183.91,200,200,289955,0
1704295124550,183.95,183.89,183.91,200,100,289955,0
1704295124690,183.95,183.89,183.91,200,100,289955,0
1704295124691,183.95,183.89,183.91,200,200,289955,0
1704295124711,183.95,183.89,183.91,300,200,289955,0
1704295124712,183.95,183.89,183.91,300,300,289955,0
1704295124727,183.95,183.89,183.91,200,200,289955,0
1704295124754,183.95,183.89,183.91,200,100,289955,0
1704295124788,183.95,183.89,183.91,200,200,289955,0
1704295124832,183.95,183.89,183.91,200,200,289955,0
1704295124833,183.95,183.89,183.91,200,100,289955,0
1704295124834,183.95,183.89,183.92,200,100,289955,0
1704295124872,183.95,183.89,183.92,200,100,289955,0
1704295124875,183.95,183.89,183.91,200,100,289955,0
1704295124890,183.95,183.89,183.92,200,100,289955,0
1704295124911,183.95,183.9,183.92,100,100,289955,0
1704295124948,183.95,183.9,183.92,200,100,289955,0
1704295124962,183.95,183.9,183.92,200,100,289955,0
1704295124963,183.95,183.9,183.92,200,100,289955,0
1704295124971,183.95,183.9,183.92,100,100,289955,0
1704295124977,183.95,183.9,183.92,200,100,289955,0
1704295125007,183.95,183.9,183.92,100,100,289955,0
1704295125067,183.95,183.9,183.92,200,100,289955,0
1704295125075,183.95,183.9,183.92,200,100,289955,0
1704295125104,183.95,183.9,183.92,200,100,289955,0
1704295125117,183.95,183.9,183.92,200,100,289955,0
1704295125118,183.95,183.9,183.92,100,100,289955,0
1704295125134,183.95,183.9,183.92,200,100,289955,0
1704295125135,183.95,183.9,183.92,200,100,289955,0
1704295125184,183.95,183.9,183.92,200,100,289955,0
1704295125228,183.95,183.9,183.92,300,100,289955,0
1704295125251,183.95,183.9,183.92,200,100,289955,0
1704295125252,183.95,183.89,183.92,200,100,289955,0
1704295125275,183.95,183.9,183.92,100,100,289955,0
1704295125297,183.95,183.89,183.92,200,100,289955,0
1704295125333,183.95,183.9,183.92,200,100,289955,0
1704295125337,183.95,183.9,183.92,200,100,289955,0
1704295125348,183.95,183.89,183.92,200,100,289955,0
1704295125369,183.95,183.9,183.92,100,100,289955,0
1704295125417,183.95,183.9,183.92,200,100,289955,0
1704295125418,183.95,183.89,183.92,200,100,289955,0
1704295125422,183.95,183.89,183.91,200,100,289955,0
1704295125423,183.95,183.89,183.91,200,300,289955,0
1704295125488,183.95,183.89,183.91,200,200,289955,0
1704295125519,183.95,183.89,183.92,200,100,289955,0
1704295125521,183.95,183.9,183.92,100,100,289955,0
1704295125549,183.95,183.89,183.92,200,100,289955,0
1704295125554,183.95,183.89,183.92,200,100,289955,0
1704295125556,183.95,183.89,183.91,200,100,289955,0
1704295125571,183.95,183.89,183.92,200,100,289955,0
1704295125596,183.95,183.9,183.92,100,100,289955,0
1704295125598,183.95,183.9,183.92,200,100,289955,0
1704295125611,183.95,183.9,183.92,200,100,289955,0
1704295125612,183.95,183.9,183.92,100,100,289955,0
1704295125613,183.95,183.9,183.92,200,100,289955,0
1704295125636,183.95,183.9,183.92,200,100,289955,0
1704295125637,183.95,183.9,183.92,100,100,289955,0
1704295125649,183.95,183.9,183.92,200,100,289955,0
1704295125724,183.95,183.89,183.92,200,100,289955,0
1704295125744,183.95,183.89,183.91,200,100,289955,0
1704295125800,183.95,183.89,183.92,200,100,289955,0
1704295125822,183.95,183.89,183.91,200,100,289955,0
1704295125850,183.95,183.9,183.91,100,100,289955,0
1704295125856,183.95,183.89,183.91,200,100,289955,0
1704295125864,183.95,183.9,183.91,100,100,289955,0
1704295126016,183.95,183.89,183.92,200,100,289955,0
1704295126023,183.95,183.9,183.92,100,100,289955,0
1704295126031,183.95,183.89,183.92,200,100,289955,0
1704295126123,183.95,183.9,183.92,100,100,289955,0
1704295126124,183.95,183.9,183.92,300,100,289955,0
1704295126126,183.95,183.9,183.92,200,200,289955,0
1704295126127,183.95,183.9,183.92,200,200,289955,0
1704295126131,183.95,183.9,183.92,200,100,289955,0
1704295126132,183.95,183.9,183.93,200,100,289955,0
1704295126135,183.95,183.91,183.93,100,100,289955,0
1704295126136,183.95,183.91,183.93,300,100,289955,0
1704295126141,183.95,183.91,183.93,100,300,289955,0
1704295126143,183.95,183.91,183.93,100,200,289955,0
1704295126146,183.95,183.91,183.93,100,100,289955,0
1704295126158,183.95,183.91,199.0,100,100,289955,0
1704295126159,183.95,183.91,199.0,100,100,289955,0
1704295126160,183.95,183.92,199.0,100,100,289955,0
1704295126170,183.95,183.91,183.93,100,100,289955,0
1704295126187,183.95,183.91,199.0,100,100,289955,0
1704295126188,183.95,183.91,183.93,100,100,289955,0
1704295126189,183.95,183.91,183.93,100,200,289955,0
1704295126190,183.95,183.91,183.93,100,300,289955,0
1704295126194,183.95,183.91,183.93,100,100,289955,0
1704295126259,183.95,183.91,183.93,100,200,289955,0
1704295126260,183.95,183.91,183.93,100,400,289955,0
1704295126269,183.95,183.9,183.93,200,400,289955,0
1704295126297,183.95,183.9,183.92,200,100,289955,0
1704295126298,183.95,183.9,183.92,200,200,289955,0
1704295126305,183.95,183.89,183.92,200,500,289955,0
1704295126306,183.95,183.9,183.92,100,500,289955,0
1704295126307,183.95,183.9,183.92,200,200,289955,0
1704295126308,183.95,183.9,183.92,400,500,289955,0
1704295126309,183.95,183.89,183.92,200,500,289955,0
1704295126310,183.95,183.89,183.91,200,100,289955,0
1704295126311,183.95,183.89,183.91,200,200,289955,0
1704295126312,183.95,183.89,183.91,200,300,289955,0
1704295126329,183.95,183.89,183.91,200,200,289955,0
1704295126330,183.95,183.89,183.91,200,100,289955,0
1704295126331,183.95,183.89,183.91,200,100,289955,0
1704295126335,183.95,183.89,183.91,200,200,289955,0
